순위,제목,출시날짜,장르1,장르2
403,DARKWOOD,2017,RPG,기타
404,三国时代2,2019,전략,시뮬레이션
405,Gears of War,,슈팅,
406,Twelve Minutes,2021,RPG,기타
407,Summer Pockets,2018,퍼즐,기타
408,Journey of Greed,2019,전략,卡片
409,Trine,2015,액션,플랫폼
410,Rhythm Doctor,2021,퍼즐,灵敏
411,火柴人大逃亡,2021,RPG,기타
412,Shovel Knight,2014,액션,플랫폼
413,陷阵之志,2018,전략,
414,Battlefield 2042,2021,슈팅,기타
415,外道勇者一行,2020,RPG,기타
416,Valiant Hearts: The Great War™,2014,RPG,기타
417,Pacify,2019,액션,어드벤쳐
418,Evoland,2013,RPG,
419,Final Fantasy XIII,,RPG,
420,Kio的人间冒险,2017,인디,
421,Maneater,,인디,
422,Blade and Sorcery,2018,액션,기타
423,英雄群侠传,2019,RPG,
424,极品飞车：亡命狂飙,,레이싱,
425,The Ascent,2021,액션,기타
426,抢滩登陆2002,2002,슈팅,
427,文明2,,전략,
428,御神巫女,2020,RPG,
429,蝶之毒华之锁,,인디,
430,狂热运输2,2019,전략,시뮬레이션
431,Pokémon Sword,,RPG,
432,Hellblade: Senua’s Sacrifice,2017,액션,어드벤쳐
433,Infanticide,2020,액션,기타
434,Steel Rats™,2018,액션,어드벤쳐
435,Iron Marines,2019,전략,
436,明星志愿3,,전략,养成
437,耀西的手工世界,2019,액션,기타
438,辐射2,,RPG,
439,伏魔记,2021,RPG,
440,末日准备狂,2021,전략,시뮬레이션
441,Sackboy A Big Adventure,2020,퍼즐,跑酷
442,星位继承者,,RPG,
443,Overlord II,2009,RPG,
444,奇点,2020,슈팅,
445,Heal,2020,인디,
446,FIFA 19,,스포츠,足球
447,Five Nights at Freddy's 2,2014,RPG,
448,Vampirem,2021,RPG,
449,Brothers: A Tale of Two Sons,2013,인디,
450,地精公司,2016,전략,시뮬레이션
451,blurred weird night,2021,액션,기타
452,The House of Da Vinci,2017,퍼즐,
453,世界游戏大全51,,인디,
454,Creepy Tale,2020,RPG,
455,Cube World,2019,인디,
456,Call of Cthulhu,2018,인디,
457,The Room Two,2016,퍼즐,解谜
458,Outer Wilds,2019,RPG,
459,Pac-Man,,퍼즐,消除
460,Super Mario Bros,,액션,플랫폼
461,My Vow to My Liege,2020,인디,
462,Monster Sanctuary,2020,RPG,
463,Rusty Lake Paradise,2018,퍼즐,观察
464,Han Xiongnu Wars,2017,RPG,기타
465,From Frontier,2020,RPG,기타
466,FRAMED,2018,인디,
467,Loot Box Simulator,2018,전략,시뮬레이션
468,Curious Expedition 2,2021,RPG,
469,幸运房东,2021,전략,
470,Ranch Simulator,2021,전략,시뮬레이션
471,钢铁之师2,2019,전략,
472,天诛,,RPG,
473,Tabletop Simulator,2015,보드,기타
474,达芬奇密室2,2020,RPG,
475,10.000.000,2013,퍼즐,
476,最后的遗迹,,RPG,기타
477,长途客车模拟,2016,전략,시뮬레이션
478,Final Fantasy V,,인디,
479,重装机犬,,RPG,기타
480,Phoenix Wright: Ace Attorney Trilogy,2019,퍼즐,
481,Chameleon Run,2019,퍼즐,跑酷
482,Metro Simulator,2019,전략,시뮬레이션
483,Samorost 3,2016,액션,어드벤쳐
484,英雄年代,,RPG,
485,Ghost of Dragon,,RPG,
486,饼干点点乐,,인디,
487,Tengami,2015,퍼즐,观察
488,LOLITA EXPEDTION,,인디,
489,闪客快打7佣兵帝国,2021,액션,플랫폼
490,Luvinia,,RPG,
491,Serious Sam 3,2011,슈팅,
492,Streamer Daily,2020,전략,시뮬레이션
493,Lego Batman,2008,액션,어드벤쳐
494,碧蓝幻想Versus,,인디,
495,御剑,2020,퍼즐,跑酷
496,亿万恋人,,전략,시뮬레이션
497,Lifeline,2017,인디,
498,银河破裂者,2021,인디,
499,锈湖：根源,2016,퍼즐,
500,Construction Simulator 2015,2014,전략,시뮬레이션
501,讨鬼传2,2017,RPG,
502,见证者,2016,퍼즐,解谜
503,The Binding of Isaac: Rebirth,2014,RPG,기타
504,Furion Chronicles,2020,전략,시뮬레이션
505,Backgammon,2014,인디,
506,Harvester,1996,인디,
507,懒人修仙传,2018,퍼즐,기타
508,英雄战姬Gold,,인디,
509,TerraTech,2018,슈팅,飞机
510,抗日：血战上海滩,,슈팅,
511,Mortal Shell,,인디,
512,火车模拟世界2,2020,전략,시뮬레이션
513,shapez.io,2020,전략,시뮬레이션
514,Trainz™ Simulator 12,2011,전략,시뮬레이션
515,7,,인디,
516,九张羊皮纸,2017,RPG,
517,Yoku's Island Express,2018,퍼즐,기타
518,Scorn,,인디,
519,骑士精神2,2015,인디,
520,One Way: The Elevator,2020,퍼즐,解谜
521,SEKIRO:Shadows Die Twice,2019,RPG,
522,选王之剑,2020,인디,
523,the Three Kingdoms of China,2019,전략,
524,Curious Expedition,2016,RPG,
